CompoundID	SMILES
101911	CC(C)COP(=O)(Nc1cccc(F)c1)OCC(C)C
102887	O=C(N(c1ccccc1)c2ccccc2)c3cc4ccccc4oc3=O
100159	Cc1[nH]c2ccc(cc2c1C)[N+](=O)[O-]
100687	Ic1ccccc1N2C(=O)C3C(C4c5ccccc5C3c6ccccc46)C2=O
100167	C(=Nc1ccccc1N=Cc2c[nH]c3ccccc23)c4c[nH]c5ccccc45
100710	Cc1ccc(NN=Nc2ccc(C)cc2)cc1
100204	O=C(c1cc2ccccc2o1)c3ccccc3
100712	Cc1ccc(cc1)N2C(=O)C3C(C4c5ccccc5C3c6ccccc46)C2=O
100207	O=C(c1coc2ccccc12)c3ccccc3
100713	CC1(OC2C=C1)C3C2C(=O)N(C3=O)c4ccc(Cl)c(Cl)c4
100213	CC(=NO)c1ccc(Br)cc1
100714	Clc1ccc(cc1Cl)N2C(=O)C3C(C4c5ccccc5C3c6ccccc46)C2=O
100219	CN(C(=O)c1ccco1)c2ccccc2
100717	Fc1cccc(NC(CC(=O)c2ccccc2)c3ccccc3)c1
100224	O=C1N(Cc2ccccc2)C(=O)c3ccccc13
100725	O=C1CSC(=Nc2ccccc2)N1
100246	OC(=O)c1ccc2C3c4ccccc4C(c5ccccc35)c2c1
100726	COc1cccc(C=CC2=NN(C(C2)c3cccc(OC)c3OC)c4ccccc4F)c1OC
100247	NC(=O)c1ccc2C3c4ccccc4C(c5ccccc35)c2c1
100735	CC(O)Cn1c2ccccc2c3cc(Cl)ccc13
100248	COC(=O)c1ccc2C3c4ccccc4C(c5ccccc35)c2c1
100744	O=C1C2C(C3c4ccccc4C2c5ccccc35)C(=O)N1Cc6ccccc6
101912	CCOP(=O)(Nc1ccc(Br)cc1)OCC
102896	CC(=NCCO)c1c(O)c2ccccc2oc1=O
101913	CC(C)COP(=O)(Nc1ccc(Br)cc1)OCC(C)C
102917	O=C(c1cc2ccccc2oc1=O)n3cncn3
101916	CC(C)P(Nc1ccc(C)cn1)C(C)(C)C
102926	Cc1ccc2c(CC(=O)O)cc(=O)oc2c1
101925	[O-][N+](=O)c1ccc(NCc2ccccc2)c(c1)[N+](=O)[O-]
102937	Oc1c([N+](=O)[O-])c(=O)oc2ccccc12
101931	CCOP(=O)(OCC)C(Nc1ccccc1)c2ccccc2
